id,name,category,account_code,city,TotalOrderCount,TotalOrderValue,outstanding_debt,TotalReturnedValue,TotalReturnedQty,TotalStock
id,name,,0,city,19,94512.17,,,,
id,name,,0,city,7,158067.2,,,,
id,name,,0,city,4,14543.55,,,,
id,name,,0,city,13,206199.0,,,,
id,name,,0,city,3,10511.5,,,,
id,name,,0,city,5,62555.35,,,,
id,name,,0,city,2,9579.0,,,,
id,name,,0,city,1,25224.39,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,5,33796.8,,,,
id,name,,0,city,1,1061.25,,,,
id,name,,0,city,2,32718.5,,,,
id,name,,0,city,2,40480.4,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,1,3812.25,,,,
id,name,,0,city,3,102279.36,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,4,27610.9,,,,
id,name,,0,city,2,11388.0,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,1,9036.75,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,2,7376.4,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,1,38044.5,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,2,15463.55,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,1,8457.46,,,,
id,name,,0,city,3,27095.4,,,,
id,name,,0,city,1,23940.0,,,,
id,name,,0,city,2,68019.96,,,,
id,name,,0,city,3,125090.53,,,,
id,name,,0,city,2,23425.8,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,1,38104.0,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,2,10897.0,,,,
id,name,,0,city,3,70401.15,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,1,17848.0,,,,
id,name,,0,city,2,11502.0,,,,
id,name,,0,city,1,9360.0,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,2,8749.25,,,,
id,name,,0,city,0,,,,,
id,name,,0,city,0,,,,,
